"year(CET)","month(CET)","avg(mean_temperatureC)"
1997,1,6.9677
1997,2,9.6071
1997,3,12.9677
1997,4,15.5000
1997,5,16.7097
1997,6,20.0333
1997,7,23.7419
1997,8,25.0323
1997,9,22.3000
1997,10,17.1935
1997,11,9.9333
1997,12,6.9355
1998,1,6.9032
1998,2,9.3214
1998,3,11.9355
1998,4,10.9667
1998,5,14.6774
1998,6,21.0000
1998,7,25.1613
1998,8,26.0000
1998,9,20.7667
1998,10,13.7097
1998,11,9.4000
1998,12,4.4516
1999,1,5.0645
1999,2,6.3571
1999,3,9.7097
1999,4,12.6667
1999,5,17.0323
1999,6,21.3667
1999,7,25.3226
1999,8,24.3871
1999,9,19.8333
1999,10,15.1290
1999,11,7.6333
1999,12,5.9032
2000,1,3.7097
2000,2,8.5000
2000,5,16.6786
2000,6,22.6364
2000,7,23.2903
2000,8,23.3333
2000,9,19.8667
2000,10,14.2258
2000,11,8.4333
2000,12,6.7097
2001,1,6.3548
2001,2,6.9643
2001,3,11.2258
2001,4,11.8000
2001,5,15.3548
2001,6,21.5357
2001,7,22.6452
2001,8,24.0645
2001,9,19.1667
2001,10,15.2581
2001,11,6.8333
2001,12,2.0968
2002,1,5.8710
2002,2,7.2500
2002,3,9.9355
2002,4,11.9667
2002,5,14.7419
2002,6,22.5667
2002,7,24.0323
2002,8,22.9032
2002,9,18.9000
2002,10,14.3226
2002,11,9.4667
2002,12,7.6129
2003,1,5.4516
2003,2,5.6429
2003,3,10.8065
2003,4,12.3000
2003,5,17.2903
2003,6,24.1667
2003,7,24.7419
2003,8,25.6774
2003,9,20.5000
2003,10,13.4516
2003,11,9.6000
2003,12,5.5806
2004,1,4.0000
2004,2,6.4138
2004,3,8.0645
2004,4,10.8333
2004,5,14.0000
2004,6,22.8000
2004,7,24.9032
2004,8,23.8065
2004,9,21.3667
2004,10,15.1935
2004,11,8.4000
2004,12,6.3548
2005,1,4.1613
2005,2,4.2857
2005,3,9.6774
2005,4,13.2667
2005,5,18.3871
2005,6,24.5333
2005,7,26.0968
2005,8,25.0000
2005,9,19.6667
2005,10,14.9677
2005,11,7.6667
2005,12,5.1290
2006,1,4.4194
2006,2,5.7143
2006,3,10.1935
2006,4,13.4667
2006,5,18.9032
2006,6,22.7667
2006,7,26.6129
2006,8,23.5161
2006,9,21.2000
2006,10,16.0968
2006,11,11.4333
2006,12,5.3871
2007,1,5.4194
2007,2,8.4286
2007,3,8.6452
2007,4,11.8333
2007,5,15.4839
2007,6,19.4333
2007,7,23.7419
2007,8,22.9032
2007,9,19.9333
2007,10,14.0323
2007,11,7.1333
2007,12,4.8387
2008,1,7.5484
2008,2,8.4138
2008,3,10.0323
2008,4,13.2000
2008,5,15.0968
2008,6,20.9667
2008,7,24.1935
2008,8,24.3548
2008,9,18.7000
2008,10,13.1935
2008,11,7.2000
2008,12,5.7419
2009,1,4.5806
2009,2,6.8214
2009,3,10.7419
2009,4,11.4000
2009,5,18.3871
2009,6,23.0667
2009,7,25.5806
2009,8,25.8387
2009,9,20.6667
2009,10,16.2903
2009,11,11.0000
2009,12,6.3871
2010,1,5.3871
2010,2,6.1429
2010,3,8.6774
2010,4,13.5000
2010,5,15.4194
2010,6,20.8000
2010,7,27.0323
2010,8,25.5806
2010,9,20.7333
2010,10,13.9677
2010,11,8.6000
2010,12,6.1290
2011,1,6.0968
2011,2,7.9643
2011,3,9.5806
2011,4,15.8000
2011,5,18.4839
2011,6,22.2333
2011,7,24.6129
2011,8,25.4516
2011,9,21.6667
2011,10,16.3226
2011,11,10.8000
2011,12,6.0000
2012,1,5.2581
2012,2,4.5172
2012,3,10.0968
2012,4,11.3333
2012,5,18.3226
2012,6,23.7000
2012,7,24.7097
2012,8,25.6452
2012,9,20.5333
2012,10,14.5484
2012,11,9.4333
2012,12,5.8065
2013,1,5.9355
2013,2,6.1786
2013,3,9.0323
2013,4,11.7667
2013,5,14.2258
2013,6,20.8667
2013,7,26.6774
2013,8,26.0323
2013,9,21.8667
2013,10,16.5484
2013,11,9.2000
2013,12,5.5161
2014,1,8.1613
2014,2,7.3929
2014,3,10.8387
2014,4,15.8000
2014,5,18.0323
2014,6,22.2000
2014,7,24.5161
2014,8,25.2258
2014,9,21.7000
2014,10,17.8387
2014,11,10.9667
2014,12,6.4516
2015,1,5.1613
2015,2,6.4643
2015,3,10.5161
2015,4,14.0667
2015,5,19.4516
2015,6,23.6333
2015,7,28.8065
2015,8,25.2903
2015,9,20.0333
2015,10,15.6129
2015,11,11.6000
2015,12,8.2903
